number,title,state,closedAt,url,author,assignees,labels,milestone_title,milestone_number,milestone_title_m,milestone_state,milestone_due_on,milestone_description,milestone_start_at
16,Create Tests tab main screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/16,claucece,,Test Tab,Tests Flow,4,Tests Flow,open,2026-02-14T00:00:00Z,Setup the Tests flow,2025-12-10
15,Define Tests tab scope and taxonomy,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/15,claucece,,design;Test Tab,Tests Flow,4,Tests Flow,open,2026-02-14T00:00:00Z,Setup the Tests flow,2025-12-10
14,Add progress indicator for prepare lesson reading,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/14,claucece,,Prepare Tab,Prepare Tasks Flow,3,Prepare Tasks Flow,open,2026-01-07T00:00:00Z,Setup the Prepare Tasks flow,2025-12-10
13,Implement Prepare lesson screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/13,claucece,,Prepare Tab,Prepare Tasks Flow,3,Prepare Tasks Flow,open,2026-01-07T00:00:00Z,Setup the Prepare Tasks flow,2025-12-10
12,Implement Prepare tab landing screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/12,claucece,,Prepare Tab,Prepare Tasks Flow,3,Prepare Tasks Flow,open,2026-01-07T00:00:00Z,Setup the Prepare Tasks flow,2025-12-10
11,Define Prepare lesson structure and learning objectives,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/11,claucece,,Prepare Tab,Prepare Tasks Flow,3,Prepare Tasks Flow,open,2026-01-07T00:00:00Z,Setup the Prepare Tasks flow,2025-12-10
10,Create About Screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/10,claucece,,Main,Main Pages Flow,8,Main Pages Flow,open,2026-01-05T00:00:00Z,Create the main pages,2025-12-08
9,Create Home Screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/9,claucece,,Main,Main Pages Flow,8,Main Pages Flow,open,2026-01-05T00:00:00Z,Create the main pages,2025-12-08
8,Logout Flow,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/8,claucece,,authentication,Authentication Flow,2,Authentication Flow,open,2026-01-05T00:00:00Z,Set up the authentication flow,2025-12-08
7,Session State Management,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/7,claucece,,authentication,Authentication Flow,2,Authentication Flow,open,2026-01-05T00:00:00Z,Set up the authentication flow,2025-12-08
6,Create Signup Screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/6,claucece,,authentication,Authentication Flow,2,Authentication Flow,open,2026-01-05T00:00:00Z,Set up the authentication flow,2025-12-08
5,Create Login Screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/5,claucece,,authentication,Authentication Flow,2,Authentication Flow,open,2026-01-05T00:00:00Z,Set up the authentication flow,2025-12-08
4,Set Up Navigation Skeleton,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/4,claucece,claucece,skeleton;design,Skeleton,1,Skeleton,open,2025-12-15T00:00:00Z,Create the first skeleton of the app,2025-12-01
3,Define Information Architecture,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/3,claucece,claucece,skeleton;design,Skeleton,1,Skeleton,open,2025-12-15T00:00:00Z,Create the first skeleton of the app,2025-12-01
2,Chose a visual Identity,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/2,claucece,claucece,skeleton;design,Skeleton,1,Skeleton,open,2025-12-15T00:00:00Z,Create the first skeleton of the app,2025-12-01
1,Create the app skeleton,CLOSED,2025-12-14T00:56:04Z,https://github.com/claucece/final-wildfire-safe-implementation/issues/1,claucece,claucece,skeleton,Skeleton,1,Skeleton,open,2025-12-15T00:00:00Z,Create the first skeleton of the app,2025-12-01
